,time(s),values
0,0.0,0.0
1,0.02,0.9980100329775718
2,0.04,1.049941506271615
3,0.06,1.1489762049902763
4,0.08,1.4612287730554279
5,0.1,1.009835041524401
6,0.12,0.3293391928023662
7,0.14,0.12830274031077116
8,0.16,-0.3030513843529815
9,0.18,-0.7928799657413099
10,0.2,-0.49267960066295796
11,0.22,-0.26449580287181823
12,0.24,-0.7307566299318082
13,0.26,-0.7307566299318095
14,0.28,-0.2644958028718185
15,0.3,-0.49267960066295646
16,0.32,-0.7928799657413097
17,0.34,-0.3030513843529824
18,0.36,0.1283027403107722
19,0.38,0.3293391928023663
20,0.4,1.0098350415244002
21,0.42,1.4612287730554283
22,0.44,1.1489762049902772
23,0.46,1.0499415062716135
24,0.48,0.9980100329775715
25,0.5,2.510959224697686e-15
26,0.52,-0.9980100329775707
27,0.54,-1.0499415062716164
28,0.56,-1.1489762049902763
29,0.58,-1.461228773055426
30,0.6,-1.0098350415244028
31,0.62,-0.3293391928023671
32,0.64,-0.12830274031077074
33,0.66,0.30305138435298057
34,0.68,0.79287996574131
35,0.7000000000000001,0.4926796006629574
36,0.72,0.2644958028718167
37,0.74,0.7307566299318073
38,0.76,0.7307566299318113
39,0.78,0.26449580287181895
40,0.8,0.49267960066295696
41,0.8200000000000001,0.7928799657413106
42,0.84,0.3030513843529846
43,0.86,-0.12830274031077288
44,0.88,-0.3293391928023645
45,0.9,-1.0098350415243988
46,0.92,-1.4612287730554285
47,0.9400000000000001,-1.1489762049902754
48,0.96,-1.0499415062716106
49,0.98,-0.998010032977574
50,1.0,-5.021918449395372e-15
51,1.02,0.9980100329775743
52,1.04,1.0499415062716155
53,1.06,1.1489762049902752
54,1.08,1.4612287730554276
55,1.1,1.0098350415244004
56,1.12,0.329339192802366
57,1.1400000000000001,0.1283027403107706
58,1.16,-0.30305138435297285
59,1.18,-0.7928799657413104
60,1.2,-0.49267960066296307
61,1.22,-0.2644958028718156
62,1.24,-0.7307566299318053
63,1.26,-0.7307566299318129
64,1.28,-0.26449580287181823
65,1.3,-0.49267960066295724
66,1.32,-0.7928799657413091
67,1.34,-0.3030513843529801
68,1.36,0.1283027403107738
69,1.3800000000000001,0.3293391928023679
70,1.4000000000000001,1.0098350415244055
71,1.42,1.4612287730554288
72,1.44,1.1489762049902832
73,1.46,1.04994150627161
74,1.48,0.9980100329775742
75,1.5,1.2861948192293808e-14
76,1.52,-0.9980100329775725
77,1.54,-1.049941506271617
78,1.56,-1.1489762049902779
79,1.58,-1.4612287730554254
80,1.6,-1.0098350415244035
81,1.62,-0.32933919280236607
82,1.6400000000000001,-0.12830274031076694
83,1.6600000000000001,0.30305138435298373
84,1.68,0.792879965741309
85,1.7,0.4926796006629598
86,1.72,0.2644958028718154
87,1.74,0.7307566299318047
88,1.76,0.7307566299318117
89,1.78,0.2644958028718215
90,1.8,0.49267960066295396
91,1.82,0.7928799657413131
92,1.84,0.30305138435298373
93,1.86,-0.12830274031077302
94,1.8800000000000001,-0.32933919280237023
95,1.9000000000000001,-1.009835041524398
96,1.92,-1.4612287730554305
97,1.94,-1.1489762049902799
98,1.96,-1.049941506271614
99,1.98,-0.9980100329775718
100,2.0,-1.0043836898790743e-14
101,2.02,0.9980100329775696
102,2.04,1.0499415062716242
103,2.06,1.1489762049902739
104,2.08,1.461228773055426
105,2.1,1.0098350415244055
106,2.12,0.32933919280236446
107,2.14,0.12830274031077218
108,2.16,-0.30305138435297996
109,2.18,-0.7928799657413107
110,2.2,-0.4926796006629544
111,2.22,-0.2644958028718145
112,2.24,-0.730756629931808
113,2.2600000000000002,-0.7307566299318086
114,2.2800000000000002,-0.2644958028718174
115,2.3000000000000003,-0.49267960066295835
116,2.32,-0.792879965741317
117,2.34,-0.3030513843529897
118,2.36,0.12830274031076858
119,2.38,0.3293391928023622
120,2.4,1.0098350415243924
121,2.42,1.4612287730554316
122,2.44,1.1489762049902845
123,2.46,1.0499415062716078
124,2.48,0.998010032977575
125,2.5,1.077843928408818e-14
126,2.52,-0.9980100329775751
127,2.54,-1.0499415062716184
128,2.56,-1.1489762049902768
129,2.58,-1.4612287730554234
130,2.6,-1.0098350415244026
131,2.62,-0.3293391928023678
132,2.64,-0.12830274031076772
133,2.66,0.3030513843529775
134,2.68,0.7928799657413137
135,2.7,0.4926796006629606
136,2.72,0.264495802871815
137,2.74,0.7307566299318096
138,2.7600000000000002,0.730756629931814
139,2.7800000000000002,0.2644958028718205
140,2.8000000000000003,0.49267960066295946
141,2.82,0.7928799657413104
142,2.84,0.3030513843529922
143,2.86,-0.1283027403107753
144,2.88,-0.3293391928023667
145,2.9,-1.0098350415243953
146,2.92,-1.4612287730554288
147,2.94,-1.1489762049902874
148,2.96,-1.0499415062716113
149,2.98,-0.9980100329775694
150,3.0,-2.5723896384587616e-14
151,3.02,0.9980100329775662
152,3.04,1.0499415062716257
153,3.06,1.1489762049902768
154,3.08,1.4612287730554225
