,Data
0,0.4330674199899035
1,0.3065575939795359
2,-0.2258873659804069
3,-0.20315862644927843
4,-0.8021125671719953
5,-0.04162866647310567
6,-0.6747465220895106
7,0.5615313645074694
8,0.5072621249351666
9,-0.25944634499095487
10,0.8147428056173657
11,0.2936067597159459
12,0.06631678217242182
13,-0.5848304046794257
14,-0.5252520771535666
15,-0.9717138712893922
16,0.8458092329130201
17,-0.3272489534396988
18,0.3660316253197773
19,0.2008717432013735
20,0.56740231132433
21,0.6073136245908978
22,-0.473030200525118
23,-0.35297214094576573
24,-0.5463435136844247
25,0.08534248996847327
26,-0.873140871546095
27,0.27480000152009776
28,0.40426495206879315
29,0.7551873935179635
30,0.44879472456620195
31,-0.19748420310918027
32,0.00030349136438014826
33,-0.527953068609537
34,0.1672164379581681
35,-0.9094797563728285
36,-0.005132519174570672
37,-0.38231813714157903
38,0.7412822251149892
39,0.6420238045356201
40,0.20464334675041862
41,0.35068552947437875
42,-0.2459840968006035
43,-0.3170866905168354
44,-0.8148540317359566
45,0.16156518744608556
46,-0.5704365205312129
47,0.41175763364645085
48,-0.2868262953438762
49,1.0921494889530876
50,0.27798303499146965
51,0.3031265341515592
52,-0.24631926063402945
53,-0.640353137008037
54,0.13247965309759888
55,-0.9143885586900432
56,0.13990600461300762
57,-0.5107681020097957
58,1.0626752342725658
59,0.2641419031631813
60,0.19744117112655163
61,0.5612433392725293
62,-0.40058005097078286
63,0.04216073466997768
64,-1.2972170983749836
65,0.36528858274735404
66,-0.6681151745914039
67,0.6389929019107887
68,-0.13782758738271267
69,0.4640718506265299
70,0.6859936590077976
71,0.06112000735142147
72,0.38145523069795595
73,-1.2584427991711138
74,0.37601230301371763
75,-1.1231599855893608
76,0.32032612382745085
77,-0.3007614947689031
78,0.8686741774793566
79,0.16054627957892512
80,0.2899642991861109
81,0.29568081546980113
82,-0.011201725635047155
83,0.03154908780078568
84,-1.1419792785517202
85,-0.4884911798277645
86,0.07188443184093987
87,0.45607338624135274
88,0.0655086537540194
89,0.3192139433246074
90,0.3965371638193385
91,0.2987666282966054
92,0.3693035566483017
93,-0.9762118783828991
94,-0.16005695439822518
95,-0.7297591217321897
96,0.10772585572905588
97,-0.2030929331502158
98,0.4501102794996165
99,1.0806100470143063
100,-0.26065114752187885
101,0.20528601464781995
102,-0.1284803901869426
103,0.4961366379734265
104,-1.4595240739165471
105,-0.08896770110399058
106,-0.477562360965346
107,0.7348385663716077
108,-0.31020004385988137
109,0.8997239746542218
110,0.354171888484179
111,0.0644876128477842
112,0.32833035161453744
113,-1.1223284897152241
114,0.2096178897470941
115,-0.7559023003997156
116,0.04352666914761635
117,-0.3274321896821232
118,0.8906959794034225
119,0.004534197888206936
120,0.6061369522885326
121,0.5483565165937584
122,-0.5936022095975452
123,0.13575676889685054
124,-1.298259175265047
125,0.4128621514630659
126,-0.8696139925298167
127,0.7140346404324525
128,-0.10229244476751928
129,0.8258054554920414
130,0.035989655757436255
131,0.3669541713386393
132,0.35428652897879653
133,-1.093767728663053
134,-0.08874466925902903
135,-0.7842141657369001
136,0.6155611127139394
137,-0.6410230704537422
138,0.4312853137584841
139,0.6515573484175106
140,0.3944972163639096
141,0.3004507656356007
142,-0.11892966975322908
143,-0.33077115150794384
144,-0.8169512540212577
145,-0.14427558161564738
146,-0.25017510193023623
147,0.20116132237762455
148,0.3326111506455843
149,0.2119936717068873
150,0.9574523873990372
151,-0.3467897503984998
152,0.3118766494603232
153,-0.6717001080111159
154,-0.17042916419755308
155,-0.7756171247949221
156,0.12880271207685354
157,0.019161534305126536
158,0.02323795611617043
159,0.7610000442638157
160,0.4957730907283249
161,0.5111800462020392
162,-0.7925039568762214
163,-0.29386102688504695
164,-0.015756380397282867
165,-0.3324095067101862
166,-1.065364934545328
167,0.9130391813501656
168,0.08997692784988606
169,0.5708963177815021
170,0.24765341271478394
171,0.26585862277849653
172,0.19611412684003812
173,-0.845716462346502
174,0.04697319994028331
175,-1.1123699967120504
176,0.4383831331615086
177,-0.39337784272348497
178,0.7762814397853744
179,0.16399065463585236
180,0.7480429732925202
181,0.04698033980159912
182,-0.45692077204219483
183,0.3552514774734085
184,-1.158164760980911
185,0.1918804333551891
186,-0.8089747168458714
187,0.40992507796211275
188,0.22519959786696792
189,0.7554485120887874
190,0.04641438584981935
191,0.5779976534232412
192,0.08619932270088264
193,-1.1387004270850818
194,0.06594638538951529
195,-0.6805300986566777
196,0.14068060547101424
197,-0.13443692579672203
198,0.35736467783750847
199,0.6401832806884716
200,0.030472940485941978
201,0.7284549989400498
202,-0.34453088158928935
203,-0.09793640557102909
204,-1.0274367878916562
205,-0.38855519803450184
206,0.17049134327825557
207,0.4080007284585626
208,-0.3382593774553834
209,0.7244611175863859
210,0.33606004313511295
211,0.45775168688432855
212,0.02606099401501554
